0118,032,1
0118,019,1
0118,056,1
0118,010,1
0118,038,1
0118,009,1
0118,008,1
0118,030,1
0118,039,1
0118,051,1
0118,049,1
0118,021,1
0118,020,1
0118,002,1
0118,034,1
0118,033,1
0118,031,1
0118,006,1
0118,053,1
0118,054,1
0118,043,1
0118,042,1
0118,047,1
0118,046,1
0118,018,1
0118,017,1
0118,016,1
0118,013,1
0118,015,1
0118,044,1
0118,007,1
0118,036,1
0118,050,1
0118,048,1
0118,004,1
0118,029,1
0118,011,1
0118,052,1
0118,012,1
0118,022,1
0118,023,1
0118,024,1
0118,025,1
0118,041,1
0118,001,1
0118,003,1
0118,005,1
0118,014,1
0118,026,1
0118,037,1
0118,035,1
0118,045,1
0118,040,1
0160,042,1
0160,038,1
0160,010,1
0160,027,1
0160,008,1
0160,019,1
0160,002,1
0160,035,1
0160,034,1
0160,030,1
0160,037,1
0160,028,1
0160,026,1
0160,025,1
0160,009,1
0160,007,1
0160,033,1
0160,032,1
0160,020,1
0160,018,1
0160,016,1
0160,015,1
0160,041,1
0160,040,1
0160,023,1
0160,022,1
0160,013,1
0160,012,1
0160,011,1
0160,043,1
0160,005,1
0160,029,1
0160,014,1
0160,001,1
0160,036,1
0160,006,1
0160,021,1
0160,039,1
0160,031,1
0160,003,1
0160,004,1
0175,025,1
0175,016,1
0175,018,1
0175,007,1
0175,036,1
0175,035,1
0175,002,1
0175,009,1
0175,015,1
0175,014,1
0175,013,1
0175,012,1
0175,011,1
0175,010,1
0175,027,1
0175,019,1
0175,006,1
0175,004,1
0175,005,1
0175,003,1
0175,031,1
0175,033,1
0175,024,1
0175,026,1
0175,038,1
0175,034,1
0175,032,1
0175,021,1
0175,020,1
0175,008,1
0175,017,1
0175,023,1
0175,001,1
0175,029,1
0175,030,1
0175,022,1
018A,023,1
018A,012,1
018A,009,1
018A,029,1
018A,017,1
018A,028,1
018A,006,1
018A,003,1
018A,019,1
018A,018,1
018A,008,1
018A,007,1
018A,005,1
018A,011,1
018A,022,1
018A,020,1
018A,002,1
018A,025,1
018A,021,1
018A,010,1
018A,013,1
018A,001,1
018A,004,1
0194,015,1
0194,011,1
0194,018,1
0194,017,1
0194,007,1
0194,003,1
0194,021,1
0194,020,1
0194,002,1
0194,012,1
0194,024,1
0194,001,1
0194,009,1
0194,008,1
0194,016,1
0194,029,1
0194,006,1
0194,005,1
0194,035,1
0194,022,1
0194,032,1
0194,013,1
0194,010,1
0194,026,1
0194,027,1
0194,019,1
0207,005,1
0207,030,1
0207,025,1
0207,018,1
0207,024,1
0207,023,1
0207,022,1
0207,021,1
0207,033,1
0207,032,1
0207,003,1
0207,002,1
0207,001,1
0207,020,1
0207,019,1
0207,017,1
0207,015,1
0207,014,1
0207,013,1
0207,027,1
0207,026,1
0207,007,1
0207,006,1
0207,012,1
0207,008,1
0207,009,1
0207,010,1
0207,016,1
0207,004,1
0207,028,1
0207,031,1
0207,011,1
0211,035,1
0211,033,1
0211,016,1
0211,017,1
0211,015,1
0211,014,1
0211,047,1
0211,005,1
0211,040,1
0211,025,1
0211,006,1
0211,028,1
0211,027,1
0211,042,1
0211,021,1
0211,020,1
0211,001,1
0211,002,1
0211,049,1
0211,037,1
0211,019,1
0211,024,1
0211,046,1
0211,048,1
0211,034,1
0211,032,1
0211,039,1
0211,038,1
0211,036,1
0211,041,1
0211,053,1
0211,009,1
0211,030,1
0211,043,1
0211,044,1
0211,013,1
0211,050,1
0211,051,1
0211,052,1
0211,012,1
0211,029,1
0211,045,1
0300,001,1
0300,003,1
0300,007,1
0300,009,1
0300,006,1
0300,005,1
0300,004,1
0300,008,1
0300,002,1
0315,008,1
0315,007,1
0315,001,1
0315,003,1
0315,004,1
0315,005,1
032A,003,1
032A,008,1
032A,002,1
032A,006,1
032A,001,1
032A,007,1
0334,007,1
0334,011,1
0334,012,1
0334,005,1
0334,003,1
0334,002,1
0334,013,1
0334,008,1
0334,009,1
0334,001,1
0334,006,1
0387,002,1
0387,008,1
0387,009,1
0387,005,1
0387,019,1
0387,014,1
0387,016,1
0387,018,1
0387,003,1
0387,006,1
0387,010,1
0387,013,1
0387,017,1
0387,012,1
0387,015,1
0387,001,1
0387,007,1
0476,003,1
0476,001,1
0476,007,1
0476,004,1
0476,005,1
0476,006,1
0090,800,0
0090,001,0
0122,016,1
0122,031,1
0122,034,1
0122,032,1
0122,033,1
0141,005,1
0141,035,1
0141,019,1
0141,030,1
0141,026,1
0141,025,1
0141,007,1
0141,033,1
0141,037,1
0141,034,1
0141,022,1
0141,021,1
0141,004,1
0141,003,1
0141,002,1
0141,010,1
0141,016,1
0141,042,1
0141,023,1
0141,029,1
0141,028,1
0141,024,1
0141,027,1
0141,044,1
0141,041,1
0141,036,1
0141,018,1
0141,040,1
0141,038,1
0141,017,1
0141,043,1
0141,014,1
0141,020,1
0141,001,1
0141,006,1
0141,008,1
0141,009,1
